Identifier,Monthly Reporting Period,Channel,Seller Name,Servicer Name,Master Servicer,Original Interest Rate,Current Interest Rate,Spread,Original UPB,UPB at Issuance,Current Actual UPB,Original Loan Term,Origination Date,First Payment Date,Loan Age,Remaining Months to Legal Maturity,Remaining Months To Maturity,Maturity Date,Original LTV,Oringal CLTV,Number of Borrowers,Debt-To-Income,Borrower Credit Score at Origination,Co-Borrower Credit Score at Origination,First Time Home Buyer Indicator,Loan Purpose,Property Type,Number of Units,Occupancy Status,Property State,MSA_code,Zip Code Short,Mortgage Insurance Percentage,Amortization Type,Prepayment Penalty Indicator,Interest Only Loan Indicator,Interest Only First Principal And Interest Payment Date,Months to Amortization,Current Loan Delinquency Status,Loan Payment History,Modification Flag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100023000000,122010,R,Other,Other,,5.375,5.375,0,55000,,52871.05,240,82009,102009,15,225,224,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,12011,R,Other,Other,,5.375,5.375,0,55000,,52871.05,240,82009,102009,16,224,224,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,22011,R,Other,Other,,5.375,5.375,0,55000,,52732.87,240,82009,102009,17,223,223,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,32011,R,Other,Other,,5.375,5.375,0,55000,,52594.07,240,82009,102009,18,222,222,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,42011,R,Other,Other,,5.375,5.375,0,55000,,52314.6,240,82009,102009,19,221,220,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,52011,R,Other,Other,,5.375,5.375,0,55000,,52314.6,240,82009,102009,20,220,220,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,62011,R,Other,Other,,5.375,5.375,0,55000,,52032.62,240,82009,102009,21,219,218,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,72011,R,Other,Other,,5.375,5.375,0,55000,,52032.62,240,82009,102009,22,218,218,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,82011,R,Other,Other,,5.375,5.375,0,55000,,51890.69,240,82009,102009,23,217,217,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,92011,R,Other,Other,,5.375,5.375,0,55000,,51604.9,240,82009,102009,24,216,215,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,102011,R,Other,Other,,5.375,5.375,0,55000,,51604.9,240,82009,102009,25,215,215,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,112011,R,Other,Other,,5.375,5.375,0,55000,,51461.05,240,82009,102009,26,214,214,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,122011,R,Other,Other,,5.375,5.375,0,55000,,51171.41,240,82009,102009,27,213,212,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,12012,R,Other,Other,,5.375,5.375,0,55000,,51171.41,240,82009,102009,28,212,212,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,22012,R,Other,Other,,5.375,5.375,0,55000,,51025.61,240,82009,102009,29,211,211,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
100023000000,32012,R,Other,Other,,5.375,5.375,0,55000,,50732.06,240,82009,102009,30,210,209,92029,55,55,1,36,714,,N,C,SF,1,P,OH,17140,452,,FRM,N,N,,,0,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,N,,,,,,N,,,,,,,,,,,,,,,,N,,,
